android/packager-manager-samples	Multiple samples demonstrating Package Manager in Android.	public	2021-11-22T22:31:48Z
android/codelab-ongoing-activity		public	2021-11-19T21:36:38Z
android/remote-provisioning-cbor		public	2021-11-10T21:32:27Z
android/codelab-android-stamp-collector-app		public, archived	2021-10-11T16:21:56Z
android/codelab-permissions		public, archived	2021-08-25T00:17:15Z
android/codelab-watchnext-for-movie-tv-episodes		public, archived	2021-05-18T17:17:53Z
android/codelab-tv-recommendations-kotlin		public, archived	2021-04-22T09:45:28Z
android/codelab-mlkit-android		public	2021-03-25T00:55:54Z
android/fit-samples	Multiple samples showing the best practices using the Fit APIs on Android.	public	2021-01-26T16:29:38Z
android/topeka	A fun to play quiz that showcases material design on Android	public, archived	2021-01-22T21:31:15Z
android/sensors-samples	Multiple samples showing the best practices in sensors on Android.	public	2020-09-29T01:49:32Z
android/kotlin	Kotlin Symbol Processing API	public, fork, archived	2020-09-15T06:08:55Z
android/.github	Repo hosting default community health files.	public	2020-03-14T18:02:31Z
android/codelab-android-backup		public, archived	2019-11-08T19:08:23Z
android/codelab-android-using-kotlin		public, archived	2019-06-25T11:17:24Z
android/xAnd11		public	2019-01-18T01:43:41Z
android/android-ktx	A set of Kotlin extensions for Android app development.	public, archived	2018-11-13T20:24:58Z
android/kotlin-guides	A set of guides for writing Kotlin for Android.	public, archived	2018-10-16T15:24:07Z
android/KEEP	Kotlin Evolution and Enhancement Process	public, fork, archived	2018-05-15T19:28:19Z
